Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Steven Adams,C,26,OKC,56,1514,20.8,.604,.007,.400,14.4,23.8,19.3,13.8,1.5,3.5,14.3,17.3,,3.6,2.3,5.9,.188,,2.0,1.1,3.1,1.9
Bam Adebayo,PF,22,MIA,62,2131,20.5,.604,.019,.479,8.6,25.0,17.1,23.1,1.7,3.7,17.3,20.6,,4.4,3.4,7.7,.174,,1.6,1.9,3.6,3.0
LaMarcus Aldridge,C,34,SAS,52,1717,19.9,.573,.199,.243,6.5,18.0,12.2,11.5,0.9,4.3,7.9,23.4,,3.2,1.4,4.5,.126,,1.9,-0.6,1.4,1.5
Nickeil Alexander-Walker,SG,21,NOP,41,501,7.6,.441,.515,.123,1.7,15.3,8.4,20.3,1.0,1.2,14.3,22.8,,-0.7,0.3,-0.4,-0.037,,-3.4,-1.5,-4.9,-0.4
Grayson Allen,SG,24,MEM,30,498,11.4,.577,.517,.199,1.1,12.7,7.0,11.8,0.6,0.2,10.7,17.9,,0.5,0.3,0.7,.070,,-1.0,-1.7,-2.6,-0.1
Jarrett Allen,C,21,BRK,61,1587,20.4,.656,.013,.569,12.6,24.9,18.9,7.9,1.0,4.3,12.2,15.0,,4.2,2.7,6.8,.207,,1.1,1.0,2.1,1.6
Kadeem Allen,SG,27,NYK,10,117,14.0,.512,.364,.250,1.8,6.6,4.1,27.1,2.1,1.6,14.1,20.6,,0.1,0.1,0.1,.054,,-0.1,-0.6,-0.7,0.0
Al-Farouq Aminu,PF,29,ORL,18,380,7.7,.395,.419,.337,6.5,18.4,12.2,7.4,2.3,1.9,14.7,13.2,,-0.4,0.5,0.1,.015,,-4.6,1.4,-3.2,-0.1
Justin Anderson,SF,26,BRK,3,17,-3.8,.218,.500,.333,0.0,11.8,6.0,0.0,0.0,4.9,0.0,16.9,,-0.1,0.0,-0.1,-0.168,,-12.7,-2.3,-15.0,-0.1
Kyle Anderson,PF,26,MEM,56,1060,13.0,.535,.210,.225,5.2,18.6,12.0,15.0,2.0,2.2,14.8,13.5,,0.7,1.3,2.1,.093,,-1.4,1.7,0.3,0.6
Ryan Anderson,PF,31,HOU,2,14,9.5,.357,.714,.000,0.0,52.3,26.1,20.0,3.3,0.0,12.5,23.6,,0.0,0.0,0.0,-0.029,,-4.0,0.7,-3.3,0.0
