wins,losses,win-loss,games_behind,ps/g,pa/g,srs,team,season_start,season_end
53,12,.815,—,118.6,107.4,10.44,Milwaukee Bucks,2019,2020
46,18,.719,6.5,113.0,106.5,5.88,Toronto Raptors,2019,2020
43,21,.672,9.5,113.0,106.8,5.69,Boston Celtics,2019,2020
41,24,.631,12.0,112.2,108.9,2.58,Miami Heat,2019,2020
39,26,.600,14.0,109.3,107.4,1.61,Indiana Pacers,2019,2020
39,26,.600,14.0,109.6,107.4,2.22,Philadelphia 76ers,2019,2020
30,34,.469,22.5,110.8,111.4,-1.18,Brooklyn Nets,2019,2020
30,35,.462,23.0,106.4,107.3,-0.85,Orlando Magic,2019,2020
24,40,.375,28.5,115.6,119.7,-4.86,Washington Wizards,2019,2020
23,42,.354,30.0,102.9,109.6,-6.88,Charlotte Hornets,2019,2020
22,43,.338,31.0,106.8,109.9,-3.81,Chicago Bulls,2019,2020
21,45,.318,32.5,105.8,112.3,-6.55,New York Knicks,2019,2020
20,46,.303,33.5,107.2,110.8,-4.22,Detroit Pistons,2019,2020
20,47,.299,34.0,111.8,119.7,-7.57,Atlanta Hawks,2019,2020
19,46,.292,34.0,106.9,114.8,-7.57,Cleveland Cavaliers,2019,2020
49,14,.778,—,114.3,106.9,7.75,Los Angeles Lakers,2019,2020
44,20,.688,5.5,116.2,109.7,6.74,Los Angeles Clippers,2019,2020
43,22,.662,7.0,110.4,107.4,3.02,Denver Nuggets,2019,2020
41,23,.641,8.5,111.0,107.9,3.20,Utah Jazz,2019,2020
40,24,.625,9.5,110.8,108.3,2.79,Oklahoma City Thunder,2019,2020
40,24,.625,9.5,118.1,114.4,3.78,Houston Rockets,2019,2020
40,27,.597,11.0,116.4,110.3,5.84,Dallas Mavericks,2019,2020
32,33,.492,18.0,112.6,113.7,-1.05,Memphis Grizzlies,2019,2020
29,37,.439,21.5,113.6,115.2,-1.11,Portland Trail Blazers,2019,2020
28,36,.438,21.5,116.2,117.0,0.30,New Orleans Pelicans,2019,2020
28,36,.438,21.5,109.0,110.9,-1.44,Sacramento Kings,2019,2020
27,36,.429,22.0,113.2,114.9,-1.19,San Antonio Spurs,2019,2020
26,39,.400,24.0,112.6,113.9,-1.04,Phoenix Suns,2019,2020
19,45,.297,30.5,113.3,117.5,-3.78,Minnesota Timberwolves,2019,2020
15,50,.231,35.0,106.3,115.0,-7.92,Golden State Warriors,2019,2020
